id,customer,billboard,email,coupon,distance
1,0,40.27,0,0,2.17
2,0,47.55,1,1,1.66
3,0,50.87,1,0,2.14
4,0,49.71,2,1,1.93
5,0,54.2,2,1,1.84
6,0,49.49,0,0,1.78
7,0,66.42,0,1,2.13
8,0,36.1,1,1,2.28
9,0,44.68,1,1,2.23
10,1,49.46,1,1,1.71
11,1,42.43,1,1,1.85
12,0,45.4,1,1,2.08
13,0,58.79,2,1,2.07
14,0,46.53,0,1,1.76
15,0,51.68,2,0,2.27
16,0,34.14,0,0,2.25
17,0,47.36,1,0,1.94
18,0,44.96,2,1,2.23
19,0,45.83,1,1,1.99
20,0,43,0,0,1.78
21,1,60.16,2,1,1.38
22,0,58.19,2,0,2.26
23,0,48.9,1,1,2.21
24,0,58.06,0,0,2.33
25,1,36.83,1,1,1.66
26,0,54.11,2,0,2.16
27,1,61.49,2,1,1.88
28,0,58.12,2,1,2.27
29,0,56.05,0,0,2.09
30,1,54.68,1,1,1.65
31,0,35.73,0,0,2.26
32,0,60.24,1,0,2.22
33,0,43.3,1,1,1.97
34,0,65.47,2,0,2.13
35,1,57.25,1,1,1.96
36,0,40.25,0,0,1.75
37,0,47.55,1,0,1.91
38,0,48.9,2,1,2.2
39,0,46.26,0,0,2.13
40,0,54.8,1,1,1.98
41,1,52.79,1,1,1.79
42,0,62.36,2,1,2.22
43,0,44.87,0,0,1.95
44,0,49.26,2,0,1.94
45,1,58.87,0,1,2.11
46,1,65.93,2,1,1.9
47,1,45.79,1,1,1.43
48,1,60.22,2,1,2.26
49,0,42.69,0,1,2.2
50,0,50.33,0,0,2.22
51,0,37.16,2,1,2.03
52,0,32.92,0,1,2.2
53,0,65.1,0,0,1.89
54,0,56.01,2,1,1.86
55,0,58.1,0,1,1.88
56,0,74.87,0,0,1.95
57,0,53.29,2,0,2.28
58,0,46.94,0,1,2.05
59,0,51,0,0,2.38
60,0,63.22,1,0,1.88
61,0,52.4,2,1,2.03
62,0,40.66,0,1,1.8
63,0,41.68,0,1,1.96
64,0,58.56,2,0,2.16
65,0,37.22,1,0,2.06
66,0,37.26,1,1,2.03
67,0,52.17,2,1,2.01
68,0,39.9,0,0,1.77
69,0,39.41,0,0,2.04
70,0,51.22,0,0,1.78
71,0,49.99,1,1,1.86
72,0,46.29,2,0,2.21
73,0,46.8,1,0,1.88
74,0,66.72,0,0,1.86
75,0,52.47,1,0,1.93
76,0,60.81,2,1,2.07
77,0,50.89,1,1,1.98
78,1,37.72,0,1,1.91
79,0,58.33,0,1,2.03
80,0,41.75,2,1,2.11
81,0,48.85,0,0,2.09
82,0,42.35,1,0,2.15
83,1,63.32,2,1,1.61
84,1,59.87,2,1,1.82
85,0,49.66,0,0,2.28
86,0,45.08,0,1,1.73
87,0,46.99,1,1,2.16
88,0,52.63,1,1,1.93
89,1,54.57,2,0,2.15
90,0,58.64,0,1,2.18
91,0,37.88,1,0,1.75
92,0,49.28,0,0,2.08
93,1,45.23,1,1,1.68
94,0,37.85,2,0,1.93
95,0,57.07,1,1,1.96
96,0,23.47,0,1,2.13
97,0,42.11,2,1,1.74
98,0,51.19,0,1,1.86
99,0,33.67,0,1,2.35
100,0,57.6,2,0,2.06
101,0,40.27,0,0,2.17
102,0,40.27,0,0,2.17
103,0,40.27,0,0,2.17
104,0,40.27,0,0,2.17
105,0,40.27,0,0,2.17
106,0,40.27,0,0,2.17
107,0,40.27,0,0,2.17
108,0,40.27,0,0,2.17
109,0,40.27,0,0,2.17
110,0,40.27,0,0,2.17
111,0,40.27,0,0,2.17
112,0,40.27,0,0,2.17
113,0,40.27,0,0,2.17
114,0,40.27,0,0,2.17
115,0,40.27,0,0,2.17
116,0,40.27,0,0,2.17
117,0,40.27,0,0,2.17
118,0,40.27,0,0,2.17
119,0,40.27,0,0,2.17
120,0,40.27,0,0,2.17
